(u'job', 0.8486393057722519)
(u'skills', 0.7708332650377265)
(u'skill', 0.7708332650377265)
(u'qualifications', 0.7137474874135397)
(u'employment', 0.6519418263821369)
(u'work', 0.6179486464029611)
(u'career', 0.6173928101679567)
(u'experience', 0.6105636500824971)
(u'knowledge', 0.6079362252327221)
(u'hiring', 0.6037851001272826)
(u'working', 0.6019193855918681)
(u'training', 0.5980048094976141)
(u'expertise', 0.5929117447901384)
(u'resume', 0.5916682741228275)
(u'opportunities', 0.5875129370238978)
(u'opportunity', 0.5875129370238978)
(u'skilled', 0.5868700844155201)
(u'qualification', 0.5807340228762332)
(u'responsibilities', 0.5713085889010328)
(u'responsibility', 0.5713085889010328)
(u'responsibiliti', 0.5713085889010328)
(u'salary', 0.5654784535726287)
(u'teaching', 0.5611176605168966)
(u'need', 0.5601143207287089)
(u'needed', 0.5601143207287089)
(u'competencies', 0.5599114849846665)
(u'competency', 0.5599114849846665)
(u'technical', 0.5567302072348461)
(u'education', 0.5537862630607954)
(u'internship', 0.5532325389102359)
(u'positions', 0.5527528113212086)
(u'professional', 0.5464431003834604)
(u'learning', 0.5443413571164151)
(u'qualified', 0.5439173304552787)
(u'require', 0.5396099734235651)
(u'required', 0.5396099734235651)
(u'trainee', 0.5382208821964848)
(u'duty', 0.5378828774854783)
(u'duties', 0.5378828774854783)
(u'succeed', 0.5328424693204734)
(u'recruitment', 0.5318724548757581)
(u'vocational', 0.5312065286037554)
(u'ability', 0.5308273112044661)
(u'employers', 0.5289938114834661)
(u'understand', 0.5265072542925741)
(u'understanding', 0.5265072542925741)
(u'professionals', 0.5256113371048556)
(u'competence', 0.5245291048695155)
(u'teacher', 0.5242460441996062)
(u'recruiting', 0.5241389917319829)
(u'applicant', 0.5232448614432051)
(u'position', 0.5224018366618693)
(u'leadership', 0.5219153018178936)
(u'proficiency', 0.5211846116488951)
(u'business', 0.5205094030609673)
(u'discipline', 0.519741047762589)
(u'managerial', 0.5195223890637579)
(u'staffing', 0.5179501984369356)
(u'course', 0.5177978617550953)
(u'coach', 0.517648740124262)
(u'coaching', 0.517648740124262)
(u'seek', 0.5170272670806451)
(u'task', 0.5169437576198986)
(u'tasks', 0.5169437576198986)
(u'well', 0.5166395682917407)
(u'workforce', 0.5164479288978798)
(u'candidates', 0.5162649884714381)
(u'candidate', 0.5162649884714381)
(u'aptitude', 0.5160291658985894)
(u'necessary', 0.5152627671263245)
(u'staff', 0.5150494343403436)
(u'employer', 0.5149403806578321)
(u'experienced', 0.5125432570380789)
(u'do', 0.5117786819345758)
(u'learn', 0.508031316256674)
(u'engineer', 0.5078381794120533)
(u'engineering', 0.5078381794120533)
(u'diploma', 0.5067933631544215)
(u'good', 0.5064181701127551)
(u'better', 0.5064181701127551)
(u'look', 0.5060260540242875)
(u'motivated', 0.5058570002275884)
(u'motivate', 0.5058570002275884)
(u'role', 0.5047836072317053)
(u'technician', 0.5041838518614413)
(u'able', 0.5036542551245609)
(u'requirement', 0.502514651664038)
(u'requirements', 0.502514651664038)
(u'mentoring', 0.5004242457114148)
(u'graduates', 0.4990301954587232)
(u'graduate', 0.4990301954587232)
(u'level', 0.4980543818782691)
(u'advice', 0.4970798907466209)
(u'success', 0.49699734554463015)
(u'motivation', 0.49642893332306637)
(u'talent', 0.49642734354385365)
(u'successful', 0.49569648530360877)
(u'willing', 0.4952862943585595)
(u'competent', 0.49528298532489146)
(u'supervisor', 0.4951689520907784)
(u'rewarding', 0.49489426529700864)
(u'apprenticeship', 0.49442429443311237)
(u'employee', 0.4937329318420627)
(u'academic', 0.4909506699964665)
(u'writing', 0.49091771351472036)
(u'relevant', 0.4902645311834013)
(u'difficult', 0.48850480054376977)
(u'trainees', 0.48793077990288436)
(u'vacancies', 0.48755618916735094)
(u'vacancy', 0.48755618916735094)
(u'roles', 0.4872318368990018)
(u'practice', 0.4869289754282138)
(u'involve', 0.4869030796270044)
(u'involved', 0.4869030796270044)
(u'assistant', 0.48646304496169046)
(u'supervision', 0.4864288698851973)
(u'assisting', 0.48531097513868204)
(u'assistants', 0.48458856884305174)
(u'time', 0.484372440823573)
(u'interested', 0.48264475265244833)
(u'college', 0.48195400560574014)
(u'attention', 0.4818965469521408)
(u'personnel', 0.48139116800333104)
(u'team', 0.4805959064994506)
(u'assignment', 0.480351646365066)
(u'skillset', 0.4797719022527165)
(u'professionalism', 0.4794972481220983)
(u'managers', 0.4791233442154139)
(u'manager', 0.4791233442154139)
(u'employees', 0.4788273462572535)
(u'care', 0.47851635419519123)
(u'management', 0.477815017546615)
(u'help', 0.47697744184706103)
(u'occupational', 0.4768053974593286)
(u'how', 0.4766462290203817)
(u'recruiter', 0.4760699339735745)
(u'challenging', 0.4760124062961789)
(u'challenge', 0.4760124062961789)
(u'regardless', 0.47564022423003705)
(u'know', 0.47556210077967864)
(u'responsible', 0.47550985402769275)
(u'what', 0.47488582092281784)
(u'school', 0.4743008492885638)
(u'must', 0.47383465837274863)
(u'consulting', 0.47366061789861935)
(u'nursing', 0.4726726993214752)
(u'talented', 0.47252018125998885)
(u'important', 0.4724709162349249)
